SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,BYLINE,LANGUAGE,COUNTRY,SECTION,SP,STATE,JOURNAL-CODE,PUBLICATION-TYPE,LENGTH,LOAD-DATE,DATELINE,SUBJECT,TEXT
72,AE Noticiário,24 Junho 2014,MTST promete levar 10 mil à Câmara nesta terça-feira,,Adriana Ferraz e Laura Maia de Castro,PORTUGUESE; PORTUGUÊS,,GERAL,,São Paulo,FASTNEWS,Boletim de notícias,302 palavras,"June 24, 2014",,,"Após ocupar mais um terreno na capital e ameaçar invadir uma área nova por semana, o Movimento dos Trabalhadores Sem Teto (MTST) promete levar 10 mil pessoas nesta terça-feira à Câmara Municipal. Mais uma vez, o protesto tem por objetivo pressionar os vereadores a votar o novo Plano Diretor, que beneficia quatro ocupações do grupo. O impasse, porém, deve prosseguir. Nesta segunda-feira, 23, integrantes da oposição avisaram que não vão agir mediante chantagem. ""Não vamos legitimar o que é ilegítimo. Essa pressão toda mais atrapalha do que ajuda. É preciso que se compreenda que o Plano Diretor ainda não está pronto para ser votado. Muitos vereadores, até da base do prefeito Fernando Haddad, têm demandas, emendas que querem discutir"", disse Andrea Matarazzo (PSDB), presidente da Comissão de Política Urbana. Segundo a coordenação do MTST, os parlamentares não cumpriram nenhuma das datas acertadas com o grupo para a aprovação do plano - o texto já entrou na pauta diversas vezes, mas não foi à votação. Alguns líderes partidários também haviam combinado com o movimento que classificariam o terreno da Ocupação Copa do Povo, na zona leste, como uma Zona de Interesse Social (Zeis). Mas a proposta, apresentada pelo vereador Alfredinho (PT), ainda não foi lida em plenário. Pressão De acordo com José Afonso, da Secretaria Nacional do MTST, cerca de 5 mil moradores de diferentes ocupações da capital estão dispostos a permanecer na frente da Câmara até que o projeto que reordena o crescimento da cidade nos próximos 16 anos seja votado. ""É a forma que temos para chamar a atenção"", disse. Nesta segunda, a construtora Even, dona do terreno invadido no sábado pelo MTST e nomeado de ""Portal do Povo"", informou que já entrou com pedido de reintegração de posse. As informações são do jornal  O Estado de S. Paulo."
73,AE Noticiário,24 Junho 2014,Egito: presidente diz que não interferirá no Judiciário,,,PORTUGUESE; PORTUGUÊS,,INTERNACIONAL,,Cairo,FASTNEWS,Boletim de notícias,409 palavras,"June 24, 2014",,,"O presidente do Egito, Abdel Fattah el-Sisi, declarou nesta terça-feira que não vai interferir nas decisões do Judiciário do país, um dia depois de três jornalistas da Al-Jazeera terem sido sentenciados a até dez anos de prisão, veredicto que provocou várias críticas internacionais. A sentença, relacionada a acusações de terrorismo, surpreendeu os familiares dos jornalistas e provocou uma enxurrada de críticas e pedidos para que El-Sisi interviesse no caso. Segundo a Constituição egípcia, o presidente tem o direito de emitir um perdão ou comutar as penas. Autoridades norte-americanas, australianas e de outros países pediram a El-Sisi que use este direito para libertar imediatamente os jornalistas. Grupos de direitos humanos descreveram o julgamento como motivado politicamente e uma fraude que reflete as tensas relações entre o Egito e a emissora de televisão do Catar. O Catar tem sido um forte partidário dos islamitas da região e em particular do ex-presidente egípcio Mohammed Morsi, derrubado pelos militares. Com um tom desafiador, El-Sissi declarou que sempre disse que não iria interferir em assuntos judiciais e respeitaria a independência do tribunal. O presidente disse que chamou o ministro da Justiça na noite de segunda-feira para repetir essa afirmação, apesar de todo o debate a respeito da sentença dada aos jornalistas. ""Eu disse a ele que não vamos interferir em assuntos judiciais porque o Judiciário egípcio é independente"", disse ele durante cerimônia de graduação, em discurso transmitido em rede nacional de televisão. Ele também pediu que as pessoas parem de comentar e de criticar as decisões do tribunal e repetiu mais uma vez: ""não interferiremos nos veredictos do Judiciário"". O presidente disse que para assegurar as instituições do Estado, não haverá interferências em seus assuntos. ""Se desejamos instituições estatais fortes, devemos respeitar as decisões judiciais e não comentá-las mesmo que outros não compreendam essas decisões"", afirmou. A promotoria acusou os três jornalistas - o australiano Peter Greste, o canadense egípcio Mohamed Fahmy  e o egípcio Baher Mohammed - de promover ou pertencer à Irmandade Muçulmana, da qual Morsi faz parte, e de falsificar a cobertura que fizeram dos protestos com o objetivo de prejudicar a segurança do Egito e fazer parecer que o país estava a caminho de uma guerra civil. O governo do Egito considera a Irmandade uma organização terrorista. Fonte: Associated Press."
74,AE Noticiário,24 Junho 2014,MTST se concentra na República antes de ato na Câmara,,Adriana Ferraz e Rafael Italiani,PORTUGUESE; PORTUGUÊS,,GERAL,,São Paulo,FASTNEWS,Boletim de notícias,288 palavras,"June 24, 2014",,,"A coordenação nacional do Movimento dos Trabalhadores Sem-Teto (MTST) faz uma espécie de aquecimento na Praça da República na tarde desta terça-feira, dia 24, para depois seguir em marcha na direção da Câmara Municipal, no Viaduto Jacareí, região central. A entrada principal do prédio já está fechada e policiais militares da Tropa de Choque estão no local. Ao protesto do MTST, devem se unir integrantes da Federação Pró Moradia do Brasil, que já estão em frente à Câmara. A reivindicação de ambos os grupos é a mesma: a aprovação do novo Plano Diretor de São Paulo. Com ele, parte das áreas hoje invadidas na cidade serão regularizadas. Mais cedo, o prefeito Fernando Haddad  (PT) afirmou que esteve reunido com parte dos vereadores para discutir a votação do Plano Diretor. ""Acho que o projeto está maduro para a deliberação dos vereadores, talvez com um retoque ou outro. Temos um grau de amadurecimento importante. A hora agora é de tomar uma decisão para o futuro da cidade"", disse. Sobre a pressão do MTST, e as ameaças de novas invasões e ocupações enquanto o texto não for aprovado, Haddad afirmou que respeita as ""reivindicações"" legítimas, mas que a Prefeitura sempre se colocou contra ""qualquer tipo de violência e quebra de ordem"". Ainda de acordo com Haddad novas áreas ocupadas podem ser destinadas para habitação popular apenas por meio da Lei de Uso e Ocupação do Solo. O Plano Diretor está na pauta da Câmara nesta terça, mas não há garantias de que o projeto será levado à votação em plenário. Além dele, o MTST ainda exige a aprovação de outro projeto que classifica o terreno onde foi organizada a Ocupação Copa do Povo, na zona leste da cidade, como uma área de interesse para construção de moradias populares."
75,AE Noticiário,24 Junho 2014,"Presos em protesto não são black blocs, dizem advogados",,Luciano Bottini Filho,PORTUGUESE; PORTUGUÊS,,GERAL,,São Paulo,FASTNEWS,Boletim de notícias,272 palavras,"June 24, 2014",,,"Advogados que acompanharam o depoimento dos dois manifestantes presos em flagrante por associação criminosa em um ato na Avenida Paulista na noite de segunda-feira, 23, negam que ambos sejam adeptos da tática black bloc. Nesta terça-feira, 24, o secretário de Segurança Pública, Fernando Grella Vieira,  afirmou que o professor Rafael Marques Luvarghi, de 29 anos, e o técnico laboratorial Fábio Hideki Harano, de 26, foram os dois primeiros black blocs presos em flagrante por associação criminosa. Segundo a advogada ativista Tatiana Tibério Luz, o professor participava do seu terceiro ato e ""não estava mascarado"". ""Ele estava andando com um colega polonês quando três homens não fardados começaram a bater nele"", disse ela. Depois, os policiais teriam feito um cordão de isolamento e um agente à paisana atirou, sem que tivesse sido agredido. Com o professor, foram encontrados apenas um celular e um Ipod, de acordo com a advogada. A versão do advogado que acompanhou o técnico Fábio Hideki Harano, que trabalha na Universidade de São Paulo, também é outra. De acordo com Luis Rodrigues da Silva, que assistiu o suspeito apenas durante o interrogatório, o seu cliente não fazia nenhum ato de vandalismo nem incitava que outras pessoas o fizessem. ""Ele nunca se envolveu em qualquer ato de violência.  Ele foi escolhido pois ele estava sempre participando dos atos"". Silva também contesta o suposto artefato que os policiais teriam encontrado. ""Não foi feita uma revista na frente dos demais no Metrô. Aquilo foi plantado"". Os pedidos de liberdade para os presos agora deverão ser feitos pela Defensoria Pública do Estado de São Paulo."
76,AE Noticiário,25 Junho 2014,China envia representante de nível ministerial a Taiwan,,AE,PORTUGUESE; PORTUGUÊS,,INTERNACIONAL,,Taipei,FASTNEWS,Boletim de notícias,203 palavras,"June 25, 2014",,,"A China enviou pela primeira vez um funcionário de nível ministerial a Taiwan, em uma viagem de quatro dias. O objetivo é reconstruir os laços com a ilha, governada com autonomia mas que Pequim alega pertencer a seu território. Zhang Zhijun, ministro chinês do Escritório de Assuntos de Taiwan, desembarcou no principal aeroporto da ilha pouco antes do meio-dia desta quarta-feira, no horário local. Ele irá conversar privadamente com o representante de Taiwan sobre o corte de tarifas de importação e sobre a criação de escritórios no estilo consular para ajudar investidores e turistas. China e Taiwan têm sido governados separadamente desde a guerra civil chinesa, nos anos 1940, mas Pequim acredita que o território eventualmente precisa se reunificar. Em 2008 Pequim deixou as ameaças militares de lado e assinou acordos para fortalecer os laços econômicos com o governo de Taiwan. Mas, em março deste ano, centenas de manifestantes ocuparam o Parlamento de Taipei para impedir a ratificação de um pacto de liberalização comercial com a China. O protesto durou 24 dias e ganhou proporções maiores, sendo que muitos dos manifestantes pediram o fim de todas as negociações entre Taiwan e China. Fonte: Associated Press."
77,AE Noticiário,25 Junho 2014,Ucrânia vai assinar acordo que provocou rebelião no país,,Kiev,PORTUGUESE; PORTUGUÊS,,INTERNACIONAL,,,FASTNEWS,Boletim de notícias,301 palavras,"June 25, 2014",,,"O governo da Ucrânia vai assinar, na sexta-feira, um amplo acordo econômico e comercial com a União Europeia (UE), um documento de 1.200 páginas que contém regras para comercialização de produtos que vão de perus a tulipas e de queijos a maquinário. A não assinatura do acordo, meses atrás, foi o catalisador de uma revolução que deixou vários ucranianos mortos e derrubou um presidente. A expectativa agora é que ele dê início a outro tipo de revolução, desta vez na economia corrupta e de baixo desempenho da Ucrânia. O documento traz a promessa de grandes mudanças no país, que é rico em pessoas e recursos mas que tem estado atrás na comparação com muitas nações que faziam parte da União Soviética. Quando a União Soviética foi rompida, em 1991, Ucrânia e Polônia tinham economias parecidas. Atualmente, enquanto a economia ucraniana ainda é baseada principalmente em empresas soviéticas privatizadas dos setores minerador, de aço e maquinários, a Polônia criou melhores condições para a realização de negócios e novas indústrias surgiram. A Polônia passou a integrar a UE em 2004 e é atualmente cerca de quatro vezes mais rica do que a Ucrânia quando se considera a produção econômica per capita. O acordo oferece ""potencialmente, transformações tão grandes como na Polônia"", afirmou Nicholas Burge, chefe da sessão de comércio e economia da delegação da UE em Kiev. ""É isso que oferecemos à Ucrânia se eles puderem sustentar o ritmo de reformas."" O ex-presidente Viktor Yanukovych havia planejado assinar o acordo, mas recuou por causa da pressão de Moscou, o que deu início a meses de protestos que, no final, o forçaram a deixar o país e resultaram em novas eleições. O novo presidente, Petro Poroshenko, deve assinar o documento na sexta-feira, numa cerimônia em Bruxelas. Fonte: Associated Press."
78,AE Noticiário,25 Junho 2014,Líbia realiza eleições parlamentares nesta quarta-feira,,,PORTUGUESE; PORTUGUÊS,,INTERNACIONAL,,Trípoli,FASTNEWS,Boletim de notícias,420 palavras,"June 25, 2014",,,"Os eleitores líbios participavam nesta quarta-feira de uma eleição legislativa que, segundo expectativas das autoridades, deve encerrar a desordem política e a violência que se espalha no país desde a queda do ditador Muamar Kadafi. Em Trípoli e Benghazi os eleitores aproveitaram o feriado, determinado por causa do pleito, para ir às urnas. A segurança foi reforçada em alguns locais de votação da capital, mas em outros não havia presença de policiais. Nas últimas semanas, a Líbia vem sendo atingida por uma crise na qual dois gabinetes rivais disputam o poder em meio a um confronto entre islamitas e liberais, na medida em que a violência aumenta no leste, onde um general combate jihadistas. Uma série de milícias, dentre elas de extremistas islâmicos, que ajudaram a derrubar Kadafi em 2011 são responsabilizadas pela violência que não diminui desde aquela época. ""Esta é a última chance para as eleições. Estamos colocando muita esperança no futuro Parlamento para que ele retome a segurança e a estabilidade do nosso país"", disse Amr Baiou, de 32 anos, ao sair do centro de votação instalado num bairro residencial de Trípoli. Os rebeldes fortemente armados que derrubaram e mataram Kadafi formaram seus próprios feudos na região tribal do país, sendo que alguns chegaram a tomar terminais petrolíferos, prejudicando as exportações de um setor muito importante para a arrecadação do governo. O Congresso Geral Nacional (CNG), o Parlamento, que é a mais alta autoridade política da desde a revolta de 2011, foi eleito em julho de 2012, durante as primeiras eleições livres realizadas no país, mas o pleito foi cercado de controvérsias. A crise veio à tona em fevereiro, quando o CNG, cujo mandato estava para ser encerrado, decidiu prolongar o tempo da legislatura até dezembro. Os protestos de rua contrários à decisão forçaram os parlamentares a anunciar a data da eleição. Cerca de 3,5 milhões de líbios estão aptos a votar, mas apenas 1,5 milhão se registraram, muito menos do que os 2,7 milhões que decidiram participar das eleições dois anos atrás. Os eleitores vão escolher entre 1.628 candidatos, sendo que 32 dos 200 assentos do CNG são reservados para mulheres. As urnas serão fechadas às 20h (horário local, 15h em Brasília), mas os resultados finais devem ser divulgados em ""alguns dias"", segundo funcionários eleitorais. O Conselho de Segurança da Organização das Nações Unidas (ONU) expressou expectativas de que o pleito possa ser um trampolim para que o país saia do caos. Fonte: Dow Jones Newswires."
79,AE Noticiário,25 Junho 2014,Ciro deixa convenção do PP sob gritos de 'vendido',,Daiene Cardoso,PORTUGUESE; PORTUGUÊS,,POLÍTICA,,Brasília,FASTNEWS,Boletim de notícias,163 palavras,"June 25, 2014",,,"Em uma votação rápida e sob protestos dos dissidentes, a ala do PP que é favorável à aliança com a presidente Dilma Rousseff aprovou uma resolução que delega à Comissão Executiva Nacional a definição sobre os rumos da sigla. O presidente do partido, senador Ciro Nogueira (PI), deixou a convenção sob gritos de ""vendido"" dos convencionais que pregavam a proclamação da neutralidade do partido na eleição presidencial. Na resolução aprovada nesta quarta-feira, 25, o PP libera os diretórios estaduais para fazerem coligações independentemente da composição na esfera nacional. O PP também autoriza que os diretórios regionais apoiem qualquer candidato à Presidência da República. Neste momento, parlamentares que pediam a neutralidade protestam no auditório Petrônio Portella, no Senado Federal, e dizem que a votação ""relâmpago"" não tem validade. Ciro Nogueira disse aos jornalistas que a Executiva Nacional deve se posicionar ainda hoje sobre a aliança na sucessão presidencial."
80,AE Noticiário,25 Junho 2014,Greve de Rodoviários em natal atinge 100% da frota,,,PORTUGUESE; PORTUGUÊS,,GERAL,,São Paulo,FASTNEWS,Boletim de notícias,85 palavras,"June 25, 2014",,,"Os natalenses começaram esta quarta-feira, 25, com um grande transtorno no transporte coletivo. Motoristas e cobradores de ônibus, em greve há 12 dias, decidiram parar toda frota. Nesta terça-feira, 24, ocorreu o dissídio coletivo da categoria, com a Justiça do Trabalho determinando um reajuste de 7%. Segundo os dirigentes do Sindicato dos Trabalhadores Rodoviários, o que ocorre hoje não é uma ""greve, mas um protesto"" devido o baixo reajuste e a decisão da justiça de descontar os dias parados pela paralisação."
81,AE Noticiário,25 Junho 2014,Dissidentes ameaçam judicializar convenção do PP,,Daiene Cardoso,PORTUGUESE; PORTUGUÊS,,POLÍTICA,,Brasília,FASTNEWS,Boletim de notícias,301 palavras,"June 25, 2014",,,"Após aprovação de uma resolução transferindo à Comissão Executiva Nacional a decisão sobre a coligação do PP em nível nacional, dissidentes que pregavam a neutralidade na sucessão presidencial condenaram a postura do presidente da sigla, senador Ciro Nogueira (PI), e ameaçam questionar o resultado da convenção na Justiça. Os dissidentes consideraram que a forma como a resolução foi aprovada foi antidemocrática e que a deliberação não tem legitimidade. O clima na convenção nacional do PP ficou tenso quando, de forma rápida e ignorando os protestos, Nogueira colocou em votação a resolução. O senador deixou o evento sob gritos de ""vendido"" e avisou que a Executiva deve deliberar sobre a aliança nacional ainda nesta quarta-feira. ""Isso é um arremedo de convenção"", criticou o deputado Esperidião Amin (SC). Perplexos, os dissidentes avisaram que vão estudar a melhor forma de impugnar a decisão. ""Essa convenção não tem validade porque ninguém votou"", atacou a senadora Ana Amélia, candidata ao governo do Rio Grande do Sul e uma das defensoras da neutralidade da legenda. No diretório gaúcho, os convencionais pregam o apoio ao candidato do PSDB à Presidência da República, senador Aécio Neves. Durante a convenção, a divisão no partido ficou evidente. Quem defendia a manutenção da aliança com a presidente Dilma Rousseff ouvia palmas e vaias. Já os que pregavam a neutralidade chegaram a defender abertamente o apoio à candidatura tucana. Os dissidentes resolveram deixar registrado em lista as assinaturas dos contrários à resolução aprovada hoje. Eles reclamaram que a vontade da maioria foi ignorada na convenção. ""A lição daqui é que essa convenção não teve qualquer deliberação e não tem legitimidade para deliberar em nome dos convencionais. Queríamos aqui a sábia neutralidade"", insistiu Ana Amélia."
82,AE Noticiário,25 Junho 2014,Direção do PP anuncia apoio à reeleição de Dilma,,Daiene Cardoso,PORTUGUESE; PORTUGUÊS,,POLÍTICA,,Brasília,FASTNEWS,Boletim de notícias,237 palavras,"June 25, 2014",,,"Enquanto os dissidentes protestavam e anunciavam a possibilidade de judicializar a convenção do PP, o presidente nacional da sigla, senador Ciro Nogueira (PI), reuniu a Comissão Executiva a portas fechadas em seu gabinete no Senado e sacramentou o apoio à reeleição da presidente Dilma Rousseff. ""Ficou definido o apoio à presidente. Dois diretórios apenas se rebelaram, são 27"", anunciou Nogueira aos jornalistas. Em um clima tenso onde parte dos convencionais pregaram a aprovação de uma resolução de neutralidade para a sucessão presidencial, Nogueira colocou nesta quarta-feira em votação uma resolução delegando à Executiva Nacional a decisão sobre a aliança na esfera nacional. Em meio a gritos, protestos acalorados e nervos exaltados, o senador declarou aprovada a resolução. Os dissidentes disseram que a decisão não tem legitimidade. ""As pessoas não querem ouvir a maioria e sempre ouvimos democraticamente a todos. São 27  diretórios e apenas dois se rebelaram de forma inadequada. A maioria quer o apoio à presidente. Já está sacramentado o apoio"", afirmou Nogueira. A senadora Ana Amélia, candidata ao governo do Rio Grande do Sul, foi uma das que liderou o movimento pela aprovação da neutralidade. Ela deixou o auditório Petrônio Portella, no Senado Federal, afirmando que o grupo vai estudar formas de impugnar a convenção. ""A senadora Ana Amélia não é a única membro da convenção"", reagiu o presidente do PP."
83,AE Noticiário,25 Junho 2014,MG: Justiça proíbe PM de impedir manifestações anti-Copa,,Marcelo Portela,PORTUGUESE; PORTUGUÊS,,GERAL,,Belo Horizonte,FASTNEWS,Boletim de notícias,444 palavras,"June 25, 2014",,,"A Justiça mineira expediu liminar proibindo a Polícia Militar de impedir manifestações ""de questionamento à Copa do Mundo"", desde que os protestos sejam previamente comunicados à corporação. A decisão, expedida no último dia 23 e divulgada nesta quarta-feira, dia 25, atendeu ao pedido do Centro de Cooperação Comunitária Casa Palmares, que acusa a PM de fazer ""cercos policiais às manifestações populares"" promovidas contra o Mundial em Belo Horizonte. No dia da abertura da Copa, um ato terminou em confronto entre manifestantes e militares e depredação de imóveis públicos e particulares, além de uma viatura da Polícia Civil. Desde então, a PM montou cerco em torno de outros atos organizados na cidade e impediu que manifestantes promovessem passeatas para fora da região central - principalmente em direção à região da Pampulha, onde fica o Estádio Governador Magalhães Pinto, o Mineirão, que recebe jogos da Copa. Na ação, a Casa Palmares cita manifestação realizada em 14 de junho, quando a polícia ""impediu que as pessoas se reunissem pacificamente na Praça Sete de Setembro, ponto tradicional de reunião de movimentos sociais, grupos políticos e cidadãos como forma de visibilidade às duas demandas"". Segundo o processo, o cerco montado pela PM impedia o acesso de ""qualquer cidadão"" ao local, ""com especial foco em pessoas que portavam bandeiras de movimentos e usavam camisas demonstrando opinião contrária à Copa do Mundo"". O cerco, de acordo com a ação, teria sido feito mais duas vezes na região da Savassi, onde ocorrem as festas não oficiais em torno do Mundial. Cidadania. ""Não há dúvida de que é direito de todos os cidadãos brasileiros manifestarem-se publicamente questionando a realização da Copa do Mundo como forma de liberdade de expressão"", afirmou o juiz Ronaldo Claret de Moraes, responsável pelo plantão de medidas urgentes no Fórum Lafayette, em Belo Horizonte. O Ministério Público Estadual (MPE) também foi favorável à medida para ""garantir o exercício inerente à cidadania"" e afirmou que a PM ""deve exercer a segurança pública sem impedir tal liberdade de expressão, dentro dos limites inerentes à sua atribuição de defesa social"". Mas o magistrado, citando a Constituição Federal, salientou a necessidade de as manifestações serem realizadas ""pacificamente, sem armas"" e com prévio aviso à PM. Desde o início da Copa, pelo menos 30 pessoas foram presas e cinco adolescentes apreendidos acusados de delitos em manifestações na capital mineira, incluindo um suspeito com uma machadinha. O governo mineiro informou que não foi notificado da decisão judicial e que, ao receber a notificação, avaliará a possibilidade de recorrer da liminar."
84,AE Noticiário,25 Junho 2014,SP: Ouvidoria pede investigação de policial civil,,"Rafael Italiani, Luciano Bottini Filho e Fabiana Cambricoli",PORTUGUESE; PORTUGUÊS,,GERAL,Ouvidoria pede investigação de policial civil,São Paulo,FASTNEWS,Boletim de notícias,235 palavras,"June 25, 2014",,,"A Ouvidoria das Polícias do Estado de São Paulo pediu para que o policial que atirou para cima, no fim do protesto de segunda-feira na Avenida Paulista, seja investigado pela Corregedoria da Polícia Civil. O órgão encaminhou um ofício para a Secretaria de Estado de Segurança Pública. ""Ele (o policial) correu o risco de produzir um resultado. Se houvesse uma morte, poderia ser denunciado por crime doloso"", afirmou o ouvidor Júlio César Fernandes Neves. Segundo ele, a punição ao policial é necessária para que outros agentes do Estado não sejam incentivados a fazer o mesmo. O governador Geraldo Alckmin (PSDB) disse nesta quarta-feira, 25 durante uma coletiva, que não houve erro do policial. Segundo ele, o disparo foi de ""alerta"".  Até a noite de ontem, os dois manifestantes presos no ato, acusados pela Secretaria de Estado de Segurança Pública de serem black blocs, continuavam detidos. A Defensoria Pública pediu a libertação da dupla. O Ministério Público foi contrário. Nesta quinta-feira, ativistas vão protestar no Masp contra as prisões. Questionado sobre os acusados, o secretário estadual de Segurança Pública, Fernando Grella Vieira disse ontem, durante a divulgação de estatísticas de criminalidade, que lhe parece que ""a resposta é essa, é o rigor da lei"". ""Respeito a opinião de todos, mas o delegado tem a liberdade de capitular de acordo com o convencimento dele diante das provas colhidas."""
85,AE Noticiário,26 Junho 2014,TCM aprova contas do 1º ano da gestão de Haddad,,Adriana Ferraz,PORTUGUESE; PORTUGUÊS,,GERAL,,São Paulo,FASTNEWS,Boletim de notícias,400 palavras,"June 26, 2014",,,"O Tribunal de Contas do Município (TCM) aprovou na tarde desta quarta-feira, 25, as contas do primeiro ano de gestão do prefeito Fernando Haddad (PT). Os conselheiros deram aval, por unanimidade, ao parecer do relator Domingos Dissei, ex-vereador pelo PSD e indicado ao cargo pelo então prefeito Gilberto Kassab. O relatório final, no entanto, faz 43 ressalvas relativas às políticas municipais de 2013. Os conselheiros concordaram que a situação financeira de São Paulo não é confortável. Em 2013, a capacidade própria de investimento do Município, segundo o TCM, foi insuficiente para bancar os gastos com investimentos, redundando no déficit orçamentário de R$ 673,5 milhões, valor parcialmente coberto com recursos do superávit financeiro. Do mesmo modo, as perspectivas para este ano não são consideradas animadoras, em razão, especialmente, das dificuldades enfrentadas pela gestão Haddad para aumentar a arrecadação - a suspensão da alta do Imposto Predial e Territorial Urbano (IPTU) é uma delas, assim como a revogação do aumento da tarifa de ônibus após os protestos iniciados em junho do ano passado. Mas, de acordo com os conselheiros, o cenário financeiro não justifica o ""modesto desempenho da administração"", apurado pelos auditores do tribunal, em diversas funções governamentais. Nessa lista, o TCM cita os programas habitacionais, os serviços de zeladoria, as ações de proteção ambiental e a recuperação da malha viária. Todos foram considerados programas com ""baixo grau de realização"". Os conselheiros ainda indicam problemas relacionados à fiscalização das metas cumpridas por parceiros da administração, como as Organizações Sociais da Saúde, que gerenciam unidades básicas e hospitais na cidade. Nem sempre o número de consultas, exames e internações contratados pela Prefeitura é realizado. No setor de transportes, as recomendações visam ao aprimoramento do sistema de semáforos, por exemplo, e do controle do tráfego. No geral, 70% dos problemas detectados dizem respeito à gestão de contratos e licitações. A Prefeitura afirmou em nota que ""a maior parte das ressalvas tem natureza procedimental e várias já vinham sendo apontadas em outros julgamentos de contas"". ""Por recomendação do TCM, a Controladoria-Geral do Município deverá monitorar o atendimento das recomendações expedidas, o que será feito"", afirmou a administração. As informações são do jornal  O Estado de S. Paulo."
86,AE Noticiário,26 Junho 2014,Funcionários da USP bloqueiam entrada do câmpus Butantã,,Victor Vieira,PORTUGUESE; PORTUGUÊS,,GERAL,,São Paulo,FASTNEWS,Boletim de notícias,251 palavras,"June 26, 2014",,,"Funcionários da Universidade de São Paulo (USP) bloqueiam nesta quinta-feira, 26, os portões do câmpus Butantã da instituição, na zona oeste da capital. Eles protestam contra a prisão de Fábio Harano, servidor da USP preso nesta semana sob suspeita de cometer atos de vandalismo e associação criminosa durante um protesto. O grupo, que tem o apoio dos movimentos ""Não vai ter Copa"" e ""Na Copa vai ter luta"", iniciou o ato às 6h da manhã. Depois do ""trancaço"", eles pretendem seguir pela Rua Alvarenga, Avenida Vital Brasil e Marginal Pinheiros. Os manifestantes também decidirão se marcham até o Palácio dos Bandeirantes, também na zona oeste. Os servidores e estudantes também protestam contra a postura do conselho de reitores das universidades estaduais paulistas, que definiram reajuste zero aos funcionários e professores em 2014. Para retomar a negociação salarial, o conselho propôs nesta quarta-feira, 25, a criação de grupos de trabalho para debater isonomia entre as universidades e assistência estudantil. Também foi proposta a discussão das pautas específicas das universidades. O fórum das entidades sindicais ainda não se posicionou oficialmente. Na avaliação das categorias, falta uma sinalização clara de reabertura das negociações e a discussão das pautas específicas fragmenta a reivindicação unificada, relacionada ao congelamento de salários. Nesta quinta-feira, 26, representantes das entidades vão à Assembleia Legislativa para pedir aos deputados mais repasses às universidades estaduais."
87,AE Noticiário,26 Junho 2014,Manifestação reúne 200 pessoas no Portão 1 da USP,,Victor Vieira,PORTUGUESE; PORTUGUÊS,,GERAL,,São Paulo,FASTNEWS,Boletim de notícias,113 palavras,"June 26, 2014",,,"  Cerca de 200 pessoas participam da manifestação nesta quinta-feira, 26, em frente ao Portão 1 da Universidade de São Paulo (USP), na zona oeste da capital paulista. Por volta das 9h30, os portões 2 e 3 funcionavam normalmente. Os manifestantes também marcaram para esta quinta um ato na Avenida Paulista pela libertação de Fábio Harano, servidor da USP, e de Rafael Lusvarghi, presos nesta semana sob suspeita de cometerem atos de vandalismo e associação criminosa durante um protesto. Os grupos se concentrarão às 17h no vão livre do Museu de Arte de São Paulo (Masp). Agentes da Companhia de Engenharia de Tráfego (CET) orientam o trânsito nas ruas Alvarenga e Afranio Peixoto."
