Q#,city,publication,date,descriptions
23,rio,O Globo (Brazil),8-Jun,"Protestos se fragmentam, alternam pautas e sobrevivem sem diêçlogo com os governos Tatiana Farah tatiana.farah@oglobo.com.br Um ano depois de junho No princê_pio eram os 20 centavos. Em poucos dias, chegaram a ""educaê_ê£o e saê_de padrê£o Fifa"", o ""contra a militarizaê_ê£o das polê_cias"", o ""sem violê_ncia"", o ""sem partido"" e uma infinidade de motes que arrastaram cerca de dois milhêµes de pessoas ê_s ruas do paê_s. As manifestaê_êµes de junho de 2013 deixaram no Brasil um clima de insatisfaê_ê£o que nê£o se reverteu mesmo um ano depois e que, por enquanto, tem apontado para uma alta abstenê_ê£o nas eleiê_êµes. Alê©m disso, deram forê_a para que movimentos tradicionais, como os de sem-teto e as greves por melhores salêçrios, ganhassem forê_a para impor sua agenda e pressionar governos e patrêµes ê_s vê©speras da Copa. Os efeitos das manifestaê_êµes de junho na polê_tica ainda sê£o visê_veis. Que o diga a presidente Dilma Rousseff. Em marê_o de 2013, trê_s meses antes de o movimento tomar as ruas do paê_s, sua popularidade batia recorde, com 65% dos entrevistados pelo Datafolha avaliando o governo como ê_timo ou bom. Ao final de junho, o recorde virou negativo: apenas 30% de aprovaê_ê£o. A presidente atê© ensaiou uma recuperaê_ê£o parcial e chegou a ter 41% de aprovaê_ê£o em fevereiro. Mas voltou a cair e chegou, neste mê_s, ao patamar de 33% eleitores avaliando seu governo como ê_timo ou bom. O efeito das manifestaê_êµes sobre as eleiê_êµes ê© incerto. Na ê©poca, governadores tambê©m sofreram queda nos ê_ndices. - Hêç um clima de insatisfaê_ê£o, mas nê£o hêç nomes dentro da oposiê_ê£o, nem forê_as polê_ticas, que consigam capitanear isso- avalia o cientista polê_tico Marco Aurê©lio Nogueira, da Unesp, autor de ""As ruas e a democracia"", sobre a onda de protestos, que complementa: - Se as manifestaê_êµes prosseguirem, ajudando a criar um clima de insatisfaê_ê£o no paê_s, as eleiê_êµes serê£o vencidas por quem conseguir estabelecer uma comunicaê_ê£o positiva. A anêçlise se confirma com o estancamento e mesmo queda das candidaturas dos opositores do governo segundo o ê_ltimo Datafolha. O que cresceu na pesquisa foi a insatisfaê_ê£o. O nê_mero de indecisos e pessoas que tendem a votar em branco ou nulo subiu de 24% para 30% dos eleitores. - Deve haver uma abstenê_ê£o forte, o que mostra um desencantamento dos brasileiros em relaê_ê£o ê_ polê_tica. O processo vai caminhar bem, vai ter eleiê_ê£o, mas hêç 30% de insatisfeitos - aponta o sociê_logo Marcelo Ridenti, da Unicamp. Ridenti concorda com Nogueira que nenhuma lideranê_a do paê_s conseguiu representar o desejo de mudanê_a dos eleitores. - As manifestaê_êµes de junho e as manifestaê_êµes de hoje sê£o diferentes, mas as duas sê£o expressê£o de um certo desejo de mudanê_a. E nenhum candidato estêç conseguindo canalizar esse desejo - diz Ridenti. Integrante do Movimento Passe Livre (MPL), que protagonizou os protestos em junho, Lucas Oliveira sabe de cor a escalada das manifestaê_êµes. O primeiro em 6 de junho; outro maior, com cinco mil pessoas, no dia 7. A crescente segue nos dias 11 e 13, quando houve uma severa repressê£o policial. A resposta da sociedade veio no dia 17 de junho, com uma grande adesê£o ao movimento que pedia a suspensê£o do aumento de 20 centavos no preê_o das passagens de êänibus nê£o sê_ de Sê£o Paulo, mas de outras cidades, como Rio, Belo Horizonte, Recife. As manifestaê_êµes prosseguem no dia 18, com mais forê_a policial e cenas de violê_ncia. No dia 19, com o anê_ncio da revogaê_ê£o do aumento em Sê£o Paulo, os manifestantes capitaneados pelo MPL lotaram a Avenida Paulista para celebrar a vitê_ria. Mas, ê_quela altura, o protesto nê£o era mais deles. Diversos grupos foram ê_s ruas e acabaram expulsando os partidos da passeata assim como o prê_prio MPL, que deixou as manifestaê_êµes naquele dia para cumprir outras agendas na periferia da cidade, como os protestos de sem-teto. - Paramos porque o nosso chamado era contra o aumento das passagens. Nê_s vencemos - diz Lucas, afirmando que, desde junho, o MPL cresceu e estêç articulado com seus pares nos estados. - Antes, estêçvamos em cinco, seis cidades. Hoje, tem coletivos do movimento em 18 cidades em Sê£o Paulo. Para Marco Aurê©lio Nogueira, os protestos de junho foram importantes para que o Brasil incorporasse as manifestaê_êµes ao seu cotidiano, mas produziram pouco resultado polê_tico. Nê£o emergiu dos protestos uma nova lideranê_a e faltou uma articulaê_ê£o capaz de transformar essa mobilizaê_ê£o em uma forê_a polê_tica, analisa Nogueira. - Os protestos foram uma hidra, com muitos tentêçculos, muitas cabeê_as, muitas agendas e nenhuma articulaê_ê£o. A classe mê©dia participou de forma espasmê_dica, como uma corrente elê©trica, e nê£o se pode dizer que haverêç outro espasmo como aquele - diz o especialista da Unesp. Na opiniê£o de Ridenti, em junho passado ""a panela de pressê£o apitou"": - Foi uma explosê£o de insatisfaê_êµes. Qualquer explosê£o desse tipo dificilmente se mantê©m por muito tempo. Atê© se manteve bastante, por quase um mê_s. Esses movimentos foram importantes para mostrar uma certa crise de representatividade do Brasil, tanto dos poderes como dos canais tradicionais, como partidos e sindicatos - diz Ridenti, para quem o poder pê_blico nê£o tomou medidas para dialogar com esses movimentos nem para mudar suas prêçticas, ensaiando uma proposta de reforma polê_tica que nê£o foi levada a cabo. - Os poderes constituê_dos fizeram muito pouco e continuam blindados dessa pressê£o da sociedade. Em meio a protestos violentos, a assiduidade dos brasileiros foi diminuindo nas ruas. Se no comeê_o de junho o protagonismo dos atos era do MPL, aos poucos foi ganhando espaê_o a têçtica internacional black bloc, que cultua a estê©tica da violê_ncia e o ataque a sê_mbolos do governo, como prê©dios pê_blicos, e capitalistas, como agê_ncias bancêçrias e de automê_veis importados. Do outro lado, a repressê£o policial, que no inê_cio de junho gerou uma forte reaê_ê£o da sociedade, ficou ainda maior. Um balanê_o lanê_ado na semana passada pelo Artigo 19, organizaê_ê£o de defesa da liberdade de expressê£o, apontou que, em 2013, houve 696 protestos em todo o paê_s, com 2.608 pessoas detidas, oito casos de morte relacionados ê_s manifestaê_êµes e 117 jornalistas feridos, alê©m de inê_meros casos de agressê£o policial. - Ainda ê© muito cedo para avaliar o impacto desses protestos. Eles ainda nê£o acabaram. No curto prazo, o que tivemos foi uma retranca por parte dos governos, que lidaram mal com as manifestaê_êµes. Hêç um retrocesso na democracia por parte dos governos, que se prepararam, mas de modo errado, com uma visê£o de ditadura, de repressê£o, uma visê£o militarizada. Jêç aquelas manifestaê_êµes acabaram se dissolvendo em pequenas manifestaê_êµes. Você_ tinha, antes, um envolvimento maior da classe mê©dia. A violê_ncia em geral tirou gente dos protestos e ela veio de vêçrios focos - avalia a diretora do Artigo 19, a advogada Paula Martins. Hoje, a classe mê©dia saiu das ruas e ganharam forê_a movimentos como o MTST, dos sem-teto, e as mobilizaê_êµes de classe. Quanto a isso, os protestos de junho deram forê_a ê_ revolta das bases contra os prê_prios sindicatos. No mê_s passado, a base rebelde dos rodoviêçrios descumpriu o acordo firmado pelo sindicato e rejeitou o reajuste de 10% para a categoria. A revolta atingiu outras categorias, como os funcionêçrios de limpeza urbana do Rio. - Junho deu forê_a, com certeza, a esses movimentos. Hêç uma pressê£o da base para seus dirigentes terem uma atitude mais combativa. Hêç uma inê©dita e surpreendente reaê_ê£o da base, como no caso dos rodoviêçrios - diz Ridenti. Copyright Grupo de Diarios Amyeacute;rica-GDA/O Globo/Brasil. Todos los derechos reservados. Prohibido su uso o reproducciyoacute;n en Brasil Ô© NoticiasFinancieras - Ô© GDA- Agencia Globo - All rights reserved Onda de protestos no Brasil completa um ano ê_s vê©speras do Mundial  A paixê£o dos brasileiros pelo futebol ê_s vê©speras da Copa do Mundo se mistura com um clima de tensê£o motivado pelos protestos que tomaram as ruas das principais cidade do paê_s hêç exatamente um ano. A sensaê_ê£o, no entanto, ê© de que pouco ou nada  mudou desde que, em junho de 2013, um milhê£o de brasileiros pegaram os polê_ticos e o mundo de surpresa, reclamando nas ruas por causa dos gastos exorbitantes em estêçdios para o Mundial e pela precariedade dos serviê_os pê_blicos. ""Se seu filho ficar doente, leve-o ao estêçdio"", afirmava um dos cartazes exibidos na primeira grande manifestaê_ê£o de 6 de junho de 2013. ""Nada mudou. O povo saiu ê_s ruas e nenhum dos trê_s poderes esteve ê_ altura para responder ê_s exigê_ncias"", afirma o fundador do Rio de Paz, Antonio Carlos Costa, uma ONG que nesta semana encheu enormes bolas de futebol ante o Congresso para reclamar dos gastos com o Mundial. ""O Brasil ê© a sê©tima economia do mundo, mas estêç em 85o. lugar no êçndice de Desenvolvimento Humano, hêç 50.000 assassinatos por ano, e ê© normal que a populaê_ê£o se revolte com tanto dinheiro gasto na construê_ê£o de estêçdios"", acrescentou. A presidente Dilma Rousseff defendeu esta semana, em um jantar com correspondentes estrangeiros, o legado que o evento esportivo deixarêç, ao assegurar que a maior parte do investimento pê_blico ê© para o Brasil e nê£o para o Mundial, com aeroportos e projetos de mobilidade urbana. Mas, a poucos meses das eleiê_êµes presidenciais em outubro, a mensagem de Dilma parece nê£o convencer muitos brasileiros. ""As pesquisas mostram que a percepê_ê£o sobre os serviê_os pê_blicos e a economia nê£o melhoraram"", assinala Bruno Batista, da Confederaê_ê£o do Transporte. Mesmo com ê_ndices de desemprego baixos, o moderado crescimento econêämico e a inflaê_ê£o elevada contribuem para a insatisfaê_ê£o dos brasileiros. - Protestos organizados - êãs vê©speras do Mundial, que comeê_a em uma semana, o que mudou foi o teor dos protestos, muito menos intensos e mais organizados. Nas ê_ltimas semanas, trabalhadores rurais sem terras, indê_genas e outros movimentos sociais protestaram em frente aos estêçdios, enquanto sindicatos e agremiaê_êµes aproveitam a proximidade do Mundial para pressionar por aumentos salariais. Policiais, professores, motoristas de êänibus e trabalhadores do metrêä paralisaram suas atividades, provocando caos nas cidades. Os policiais federais e os professores de Sê£o Paulo conseguiram aumentos de 15% nesta semana. ""ê_ radicalmente diferente do que ocorreu em 2013, quando os protestos foram uma expressê£o do mal-estar que existia no paê_s, e as pessoas saê_ram ê_s ruas espontaneamente. Agora o mal-estar persiste, mas os partidos e movimentos assumiram a dianteira enquanto a classe mê©dia se afasta por medo da violê_ncia dos radicais"", destaca o sociê_logo da Universidade do Estado do Rio de Janeiro (UERJ), Josê© Augusto Rodrigues. - #naovaitercopa vs #vaitercopa - Ainda assim, nas redes sociais, os comentêçrios de #naovaitercopa e os de #vaitercopa vê£o ganhando mais bom humor do que raiva, ê_ medida que a Copa do Mundo se aproxima. ""Nê_s brasileiros gostamos de futebol. O que acontece ê© que o Mundial foi pouco debatido com a populaê_ê£o, que se viu refê©m das exigê_ncias da Fifa. Nê£o hêç contradiê_ê£o, pode ser uma Copa das Manifestaê_êµes que convivirêç com a paixê£o pelo futebol"", estimou Pablo Capilê©, da Mê_dia Ninja, coletivo de ativistas independentes que transmite os protestos por streaming. A ONG Anistia Internacional entregou na quinta-feira 90.000 assinaturas ao governo, pedindo que o Brasil garanta o direito ê_ manifestaê_ê£o durante a Copa do Mundo, sem excessos de violê_ncia policial. A ONG denunciou que no ano passado ocorreram excessos. - Medidas insuficientes- A ""primavera tropical"" de protestos em junho do ano passado no Brasil deixou atêänitos os polê_ticos, que nê£o sabiam como reagir ê_ indignaê_ê£o popular. Para acalmar os manifestantes, o Congresso aprovou em poucos dias medidas que eram discutidas hêç anos, como a de destinar os royalties do petrê_leo para saê_de e educaê_ê£o, e penas maiores para polê_ticos e empresêçrios corruptos. A presidente se comprometeu com melhorias em transporte e educaê_ê£o e aprovou um programa de 'importaê_ê£o' de milhares de mê©dicos estrangeiros, a maioria cubanos. O problema ê© que, com o tempo, as medidas nê£o avanê_aram, especialmente uma importante ""reforma polê_tica"" defendida por Rousseff, observou Andrê© Cesar, diretor da consultora Prospectiva. Com a chegada do Mundial, a Cê¢mara dos Deputados aprovou esta semana um Plano Nacional de Educaê_ê£o que prevê_ que em dez anos o Brasil destine 10% do PIB ê_ educaê_ê£o."
,,,,
24,rio,AE Noticiêçrio,23-May,"O Centro Integrado de Comando e Controle (CICC) do Rio, que comeê_ou a operar nesta sexta-feira, 23, terêç acesso a mais de 1.500 cê¢meras durante a Copa. O Maracanê£ recebeu 30 equipamentos para monitorar torcedores e contarêç com uma plataforma de observaê_ê£o elevada em dias de jogo. Ontem, funcionêçrios instalavam grades de ferro ao redor do estêçdio. Pelo menos 200 policiais estrangeiros vê£o atuar em conjunto com as polê_cias das cidades-sede da Copa para monitorar torcedores considerados violentos. Os agentes poderê£o usar suas fardas, mas nê£o terê£o poder de polê_cia no Paê_s. A princê_pio ficarê£o lotados no Centro de Cooperaê_ê£o Internacional, em Brasê_lia, sob coordenaê_ê£o da Polê_cia Federal. Mas devem acompanhar as seleê_êµes de seus paê_ses e, eventualmente, grupos de torcedores estrangeiros. No Rio, a Polê_cia Civil destacou apenas 156 policiais que falam inglê_s para o atendimento a torcedores nas delegacias. Em dias de jogo, o Maracanê£ terêç 2.190 PMs em seu entorno e 360 dentro do estêçdio. Na terê_a-feira, o governo do Rio anunciou que forê_as de seguranê_a vê£o mobilizar atê© 20 mil pessoas para atuar nas ruas durante a Copa. ""Serêç a maior operaê_ê£o de seguranê_a da histê_ria do Rio"", disse na ocasiê£o o subsecretêçrio estadual de Grandes Eventos, Roberto Alzir. Em quase duas horas de apresentaê_ê£o feita por representantes dos governos federal, estadual e municipal, nê£o houve comentêçrios sobre a greve de policiais civis no Rio, os protestos previstos para junho e o aumento da criminalidade registrado no Estado este ano. Depois, quando perguntado sobre a repressê£o ê_s manifestaê_êµes de rua, Alzir disse acreditar que ""o cenêçrio serêç menos antagêänico"", referindo-se aos confrontos ocorridos durante a Copa das Confederaê_êµes, em 2013. ""A anêçlise ê© que o clima serêç mais ameno, mas planos de contingê_ncia serê£o acionados em caso de acirramento"", disse o delegado federal Anderson Bichara, coordenador do CICC. ""A Copa das Confederaê_êµes foi um excelente teste e as polê_cias conduziram a situaê_ê£o com muita habilidade, mas precisamos de ajustes"", completou Bichara, sem mencionar casos de violê_ncia policial ocorridos durante a competiê_ê£o. Exê©rcito, Marinha e Aeronêçutica vê£o mobilizar 5,3 mil homens para atuar no Rio como forê_a de contingê_ncia, que serêç empregada caso haja pedido do governo do Estado e autorizaê_ê£o da presidente Dilma Rousseff. O espaê_o aê©reo serêç fechado num raio de quatro milhas nêçuticas ao redor do Maracanê£ trê_s horas antes e atê© quatro horas depois da final. A PM anunciou que colocarêç 8.132 homens por dia nas ruas durante a Copa."
,,,,
25,rio,AE Noticiêçrio,20-May,"Um dia depois de chegar definitivamente ao Brasil para a Copa do Mundo, o secretêçrio-geral da Fifa, Jê©rêäme Valcke deu prosseguimento, nesta terê_a-feira, a um tour pelos estêçdios que receberê£o o Mundial. Depois de cumprir agenda no Rio, o dirigente visitou, de tarde, a Arena Pantanal, em Cuiabêç. Pelo Twitter, fez elogios, mas cobrou esforê_o atê© o inê_cio da Copa. ""Muito bom ver o progresso feito desde a ê_ltima visita ê_ Arena Pantanal no mê_s passado. gora a operaê_ê£o tem que trabalhar a todo vapor para transformar a arena em um estêçdio de Copa do Mundo. Faltam 24 dias para Chile x Austrêçlia"", disse ele, lembrando o primeiro jogo do Mundial em Cuiabêç. Valcke chegou ao Brasil na segunda-feira e visitou o Itaquerê£o, onde avisou que o estêçdio ""ainda precisa de 100% de empenho de todos para garantir a estrutura necessêçria para a abertura"". Ele ainda lembrou que ""um evento-teste nê£o se compara em escala, necessidades e atenê_ê£o global da abertura da Copa"", em referê_ncia ao jogo entre Corinthians e Figueirense, domingo passado. No Rio, nesta manhê£, Valcke utilizou o lanê_amento de um torneio voltado a jovens carentes para defender a atuaê_ê£o da entidade no mundo todo. Ele declarou que a Fifa ""gasta dinheiro todos os dias"" para tentar fazer ""este mundo um pouco melhor"". Com isso, tentou blindar a entidade diante dos protestos que tê_m se espalhado pelo Brasil contra a realizaê_ê£o da Copa do Mundo. Na quarta-feira, Valcke vai cumprir agenda no Sul do Paê_s, visitando Curitiba, onde passarêç pela Arena da Baixada, e Porto Alegre, cidade na qual vai visitar o Beira-Rio."
,,,,
26,rio,AE Conjuntura e Finanê_as,15-May,"Alê©m do bloqueio no km 19 da pista sul (Interior-Capital) da Rodovia Anhanguera, esta quinta-feira, 15, serêç marcada por outras manifestaê_êµes e o trê¢nsito deve ficar cada vez mais complicado em todas as regiêµes da cidade. O Movimento dos Trabalhadores Sem-Teto (MTST) deve bloquear, pela manhê£, seis grandes avenidas das zonas leste, sul e centro da capital, cujos nomes ainda nê£o haviam sido divulgados atê© o inê_cio da manhê£. Os atos fazem parte da campanha ""Copa Sem Povo, Têä na Rua de Novo"", iniciada na semana passada com a invasê£o do prê©dio de trê_s construtoras responsêçveis por estêçdios da Copa. O movimento espera ainda mobilizar trabalhadores nas cidades de Brasê_lia, Rio, Palmas, Curitiba e Belê©m. êãs 14h, professores da rede municipal farê£o um ato pela educaê_ê£o pê_blica na cidade, alê©m de reivindicar aumento salarial. Eles vê£o se concentrar na frente da Secretaria Municipal de Educaê_ê£o, na Vila Mariana, zona sul, e pretendem caminhar atê© a sede da Prefeitura, no Viaduto do Chêç, no centro. Jêç os integrantes do Comitê_ Popular da Copa organizaram um ato de repê_dio ao Mundial, ê_s 17h, na Praê_a do Ciclista, na Avenida Paulista. A ideia, segundo os organizadores, ê© mobilizar aê_êµes em 50 cidades brasileiras e atê© em outros paê_ses. Na pêçgina do Facebook do ""Dia Internacional de Lutas contra a Copa"", 4,4 mil pessoas haviam aderido ao protesto atê© as 20h de ontem. Pelo menos oito capitais tê_m atos agendados."
,,,,
27,rio,AE Noticiêçrio,15-May,"Um rapaz de 19 anos morreu baleado na noite desta quarta-feira, 14, na comunidade de Manguinhos, na zona norte do Rio, em circunstê¢ncias nê£o esclarecidas atê© as 23h30. Segundo familiares, Jonathan de Oliveira Lima teria sido atingido por um tiro nas costas logo apê_s sair de casa, na favela, por volta das 18h30. Nas proximidades, PMs estariam tentando controlar um protesto de moradores. A PM afirma que Jonathan estaria participando do protesto de moradores e ê© suspeito de atacar a tiros uma base avanê_ada da Unidade de Polê_cia Pacificadora (UPP) de Manguinhos situada na favela da Coreia. Apê_s ser baleado, o rapaz foi levado ê_ Unidade de Pronto Atendimento (UPA) de Manguinhos, onde chegou morto. Antes disso, por volta das 17 horas, policiais faziam ronda por uma êçrea conhecida como Barrinho quando se depararam com suspeitos armados. Houve tiroteio e os bandidos conseguiram fugir, deixando para trêçs drogas, que foram apreendidas. Minutos depois um homem baleado buscou atendimento na UPA de Manguinhos e foi reconhecido por policiais como um dos suspeitos que haviam fugido apê_s o recente confronto. Ele foi preso, e logo depois comeê_ou um protesto de moradores contra os policiais."
,,,,
